serial_no,dealer_name,wall_address,painting_sqft,gsb_size,nlb_size,remarks,source_file
2,Impact Wall Painting at,"Nr.Vrandavan Hospital Kalli Paschim,-Lucknow",3150,,,,Bill no 119 (1).xlsx
,Lucknow To Sultanpur RD,,,,,,Bill no 119 (1).xlsx
3,Impact Wall Painting at,Gosainganj Chand Saray Sultanpur Rd - Lucknow,3110,,,,Bill no 119 (1).xlsx
,Lucknow To Barabanki Rd,,,,,,Bill no 119 (1).xlsx
4,Impact Wall Painting at,Barabanki Rd Aurangabad - Lucknow,2194.5,,,,Bill no 119 (1).xlsx
,Saheed Path Rd - Lucknow,,,,,,Bill no 119 (1).xlsx
5,Impact Wall Painting at,Nilmatha Rd Sarthua - Lucknow,2106,,,,Bill no 119 (1).xlsx
6,Impact Wall Painting at,Nilmatha Rd Sarthua - Lucknow,1980,,,,Bill no 119 (1).xlsx
,Kanpur Outer Ring Rd - Lucknow,,,,,,Bill no 119 (1).xlsx
7,Impact Wall Painting at,Outer ring Rd - Lucknow,1200,,,,Bill no 119 (1).xlsx
,Vrandavan Colony - Lucknow,,,,,,Bill no 119 (1).xlsx
8,Impact Wall Painting at,7A/236 Vrandavan Colony - Lucknow,2080,,,,Bill no 119 (1).xlsx
9,Impact Wall Painting at,Sector 18 Vrandavan Colony - Lucknow,3100,,,,Bill no 119 (1).xlsx
,Bharola To Sector 71 Noida,,,,,,Bill no 119 (1).xlsx
1,Impact Wall Painting at,Dadari Sadopur - Grater Noida,3619.5,,,,Bill no 119 (1).xlsx
,Jewar City To Ghaziabad,,,,,,Bill no 119 (1).xlsx
2,Impact Wall Painting at,"Patwari Ka Bagh,Jewar Rd,Badalpur-Ghaziabad",3276,,,,Bill no 119 (1).xlsx
,Shashtripuram- Agra,,,,,,Bill no 119 (1).xlsx
1,Impact Wall Painting at,Bodla Sikandara- Agra,2976,,,,Bill no 119 (1).xlsx
,M/s R.D. Distributor,Agra,1271.5,,,,Bill no 121 (1).xlsx
,M/s Meena Steels,Agra,1355,,,,Bill no 121 (1).xlsx
,M/s Bansi Iron,Kheragarh - Agra,2648.5,,,,Bill no 121 (1).xlsx
,M/s Arvind Traders,Jagner Rd Kheragarh - Agra,1057.5,,,,Bill no 121 (1).xlsx
,M/s Rakesh Building Material,Fatehabad - Agra,1233.5,,,,Bill no 121 (1).xlsx
,M/s Goyal Traders,Subhash Nagar - Agra,1399,,,,Bill no 121 (1).xlsx
,M/s Shree Traders,Agra,1391,,,,Bill no 121 (1).xlsx
,M/s Singhal Enterprises,Jagner Rd - Agra,2608.25,,,,Bill no 121 (1).xlsx
,Bareilly,,,,,,Bill no 121 (1).xlsx
,M/s Rathore Traders,Kandhar - Bareilly,2880,,,,Bill no 121 (1).xlsx
,M/s Guljari Lal Kanthiram,Pashupati Vihar Colony - Bareilly,1578.5,,,,Bill no 121 (1).xlsx
,M/s Sai Enterprises,Harunagla - Bareilly,2265,,,,Bill no 121 (1).xlsx
,M/s Bala Ji Traders,Bilashpur Rd - Bareilly,2856.5,,,,Bill no 121 (1).xlsx
,Deoria,,,,,,Bill no 121 (1).xlsx
,M/s Shri Ambey Traders,Ramgulam Tola - Deoria,1631,,,,Bill no 121 (1).xlsx
,M/s KSD Building Material,Ramgulam Tola - Deoria,1908,,,,Bill no 121 (1).xlsx
,M/s Shree Sai Traders,Ramnath Nagar - Deoria,1829.5,,,,Bill no 121 (1).xlsx
,M/s Mahaveer Traders,Sonughat - Deoria,1960,,,,Bill no 121 (1).xlsx
,Gonda,,,,,,Bill no 121 (1).xlsx
,M/s New Pandey Trading Co.,Faizabad Rd - Gonda,1781,,,,Bill no 121 (1).xlsx
,Gorakhpur,,,,,,Bill no 121 (1).xlsx
,M/s Garg & Associates,Gorakhpur,2010,,,,Bill no 121 (1).xlsx
,M/s Govind Steel,Gorakhpur,1860.5,,,,Bill no 121 (1).xlsx
,M/s Jaiswal Steel Corporation,Gorakhpur,2175,,,,Bill no 121 (1).xlsx
,Bulandshahr,,,,,,Bill no 121 (1).xlsx
,M/s Shashi Trading Co.,Bulandshahr,1695,,,,Bill no 121 (1).xlsx
,Hathras,,,,,,Bill no 121 (1).xlsx
,M/s Mahendra Iron Store,Agra Rd - Hathras,1696,,,,Bill no 121 (1).xlsx
,Mathura,,,,,,Bill no 121 (1).xlsx
,M/s Chhitarmal Purushottam Das,Krishna Nagar - Mathura,1565,,,,Bill no 121 (1).xlsx
,M/s Bansal Steels,Gaura Nagar Colony - Vrindavan Mathura,1839,,,,Bill no 121 (1).xlsx
,Lucknow,,,,,,Bill no 121 (1).xlsx
,M/s India Steels Sales,Lucknow,2066,,,,Bill no 121 (1).xlsx
,Mau,,,,,,Bill no 121 (1).xlsx
,M/s Yuvraj Traders,Mohammdabad Gohna - Mau,855,,,,Bill no 121 (1).xlsx
,Pilibhit,,,,,,Bill no 121 (1).xlsx
,M/s Shree Bankey Bihari Iron Traders,Puranpur - Pilibhit,1496,,,,Bill no 121 (1).xlsx
,M/s Anil Building Store,Pilibhit,1318,,,,Bill no 121 (1).xlsx
,Rampur,,,,,,Bill no 121 (1).xlsx
,M/s S.S. Enterprises,Adarsh Colony - Rampur,2161,,,,Bill no 121 (1).xlsx
